serial,cli_JR_mode2_batch_steps,cli_JR_mode3_batch_steps,cli_JR_mode3_single_steps,cli_JR_mode4_batch_steps,cli_JR_mode5_batch_steps,cli_SPF_mode0_NA_steps,
0,138,116,92,127,82,77,
1,139,117,93,128,83,77,
2,139,117,93,128,83,78,
3,140,118,94,129,83,78,
4,141,118,94,129,84,79,
5,141,119,95,130,84,79,
6,141,119,95,130,84,79,
7,142,119,96,131,85,80,
8,198,157,164,161,115,106,
9,198,157,164,162,115,107,
10,199,158,165,162,116,107,
11,228,173,178,179,130,121,
12,274,213,192,224,172,155,
13,279,217,194,226,174,157,
14,293,231,206,249,189,167,
15,308,241,216,266,199,177,
16,3113,4281,4047,3970,3573,213,
17,3114,4283,4048,3971,3574,214,
18,3159,4940,4564,4300,3863,216,
19,3159,4940,4564,4301,3864,216,
20,3160,4941,4565,4301,3865,217,
21,3198,5004,4620,4387,3940,219,
22,3217,5013,4631,4406,3954,231,
23,3218,5014,4632,4406,3955,232,
24,3218,5014,4632,4407,3955,233,
25,3219,5014,4632,4407,3956,233,
26,3228,5026,4641,4418,3965,242,
27,3259,5086,4670,4450,3995,273,
28,3268,5099,4679,4459,4004,286,
29,4891,6616,5962,5806,5143,1081,
30,4931,7167,6469,6090,5378,1082,
31,4954,7220,6516,6142,5431,1083,
32,6464,8317,7486,7111,6309,1721,
33,6464,8317,7487,7111,6309,1722,
34,6905,14866,13187,10269,9051,1936,
35,6946,15664,13930,10518,9261,1938,
36,6947,15665,13931,10518,9262,1939,
37,6947,15665,13931,10519,9262,1939,
38,6947,15666,13932,10520,9262,1939,
39,7722,16266,14759,11331,9943,1940,
40,7974,16504,14974,11502,10075,1940,
41,7975,16505,14974,11502,10076,1941,
42,7975,16505,14975,11503,10076,1941,
43,7975,16506,14975,11503,10076,1941,
44,7976,16506,14975,11503,10077,1941,
45,8721,17122,15686,12133,10594,1941,
46,8981,17265,15916,12351,10815,1942,
47,8981,17266,15916,12351,10815,1943,
48,8981,17266,15916,12352,10816,1943,
49,9238,17450,16159,12533,11072,1943,
50,9238,17451,16160,12534,11073,1943,
51,9239,17451,16161,12534,11073,1944,
52,9239,17452,16161,12534,11073,1944,
53,9239,17452,16161,12535,11074,1945,
54,9239,17452,16162,12535,11074,1945,
55,9240,17452,16162,12535,11074,1946,
56,10263,18183,17084,13260,11850,1946,
57,10264,18183,17085,13261,11850,1946,
58,10264,18183,17085,13261,11850,1946,
59,10264,18183,17085,13261,11850,1946,
60,10537,18403,17438,13481,12086,1960,
61,10724,18532,17583,13617,12221,1964,
62,10725,18532,17584,13617,12221,1968,
63,10725,18533,17584,13618,12222,1969,
64,10725,18533,17585,13618,12222,1970,
65,10726,18533,17585,13618,12222,1970,
66,11028,18791,17891,13894,12449,1970,
67,11028,18791,17891,13895,12449,1970,
68,35745,40637,37389,36470,32433,14988,
69,35746,40637,37389,36471,32433,14988,
70,35746,40638,37389,36471,32433,14988,
71,35747,40638,37390,36472,32433,14989,
72,35840,41075,37831,36575,32511,15046,
73,35889,41695,38350,36893,32824,15049,
74,35929,41764,38407,36965,32891,15050,
75,35943,41775,38422,36976,32905,15052,
76,50919,62385,54467,51581,45103,29776,
77,51001,62408,54489,51636,45123,29777,
78,65122,77955,66516,63777,55779,45329,
79,65997,78579,67021,64495,56449,45330,
80,66580,80126,68372,65543,57254,47504,
81,66580,80126,68372,65543,57254,47504,
82,66580,80126,68373,65543,57254,47505,
83,66581,80127,68373,65544,57254,47505,
84,66581,80127,68373,65544,57255,47506,
85,66620,80180,68405,65598,57285,47511,
86,68004,82194,70268,67098,58798,48738,
87,68005,82195,70268,67098,58799,48746,
88,68005,82195,70269,67099,58799,48746,
