serial,dumpxml_JR_mode2_batch_steps,dumpxml_JR_mode3_batch_steps,dumpxml_JR_mode3_single_steps,dumpxml_JR_mode4_batch_steps,dumpxml_JR_mode5_batch_steps,dumpxml_SPF_mode0_NA_steps,
0,2008,1539,1747,1790,1428,94,
1,2010,1540,1748,1791,1429,95,
2,2040,1565,1762,1815,1443,98,
3,2043,1566,1762,1816,1444,99,
4,2293,1724,1895,3523,2807,101,
5,2412,1789,1952,4097,3236,110,
6,2549,1901,2036,4104,3242,175,
7,2557,1913,2042,4105,3243,181,
8,2558,1915,2043,4480,3625,181,
9,2674,2036,2142,4515,3655,250,
10,2716,2042,2150,4515,3656,256,
11,2822,3276,3188,4533,3686,258,
12,3514,3872,3738,4542,3688,376,
13,3519,3874,3739,4543,3688,378,
14,3523,3874,3740,4543,3688,378,
15,4043,4217,3995,4549,3689,382,
16,4064,4229,4009,4550,3689,387,
17,4124,4243,4023,4724,3890,548,
18,4128,4244,4024,4725,3890,548,
19,4129,4244,4024,4725,3891,549,
20,4130,4245,4024,4726,3892,549,
21,4131,4245,4025,4726,3892,549,
22,4133,4245,4025,4726,3892,550,
23,4335,4361,4129,4726,3892,550,
24,4336,4361,4129,4727,3893,550,
25,4337,4362,4130,4727,3893,550,
26,4337,4362,4130,4727,3893,551,
27,4338,4363,4131,4728,3894,551,
28,4338,4363,4131,4728,3894,551,
29,4339,4363,4131,4728,3895,552,
30,4340,4363,4131,4729,3895,552,
31,4340,4364,4132,4730,3897,553,
32,4341,4364,4132,4786,3949,562,
33,4341,4365,4132,4855,4000,564,
34,4341,4365,4133,4934,4049,565,
35,4343,4366,4133,5009,4101,566,
36,4343,4366,4134,5144,4185,566,
37,4344,4367,4135,5147,4187,566,
38,4430,4424,4180,5909,4746,576,
39,4532,4473,4225,5912,4747,587,
40,4688,4521,4268,5914,4747,599,
41,4776,4587,4311,5914,4747,627,
42,5373,5445,4900,6948,5458,716,
43,5374,5445,4900,6948,5458,759,
44,5375,5446,4900,6948,5458,760,
45,5375,5446,4901,6949,5459,760,
46,5991,6351,5548,6949,5459,791,
47,6122,6352,5548,6949,5459,806,
48,6218,6352,5548,6949,5459,806,
49,6324,6352,5549,6950,5459,815,
50,6411,6353,5549,6951,5460,836,
51,6482,6353,5549,6952,5460,968,
52,6503,6353,5550,6952,5460,969,
53,6503,6354,5550,6953,5460,997,
54,6551,6354,5550,6954,5461,1021,
55,6581,6354,5550,6954,5461,1042,
56,6618,6354,5551,7176,5688,1065,
57,6655,6355,5551,7177,5689,1065,
58,6694,6355,5551,7177,5689,1079,
59,6732,6355,5552,10381,8559,1080,
60,6760,6529,5723,10387,8565,1111,
61,6793,6529,5724,11001,9072,1157,
62,6833,6530,5724,11002,9072,1157,
63,10326,9047,7984,11002,9072,1174,
64,10336,9047,7984,11003,9073,1175,
65,10336,9048,7985,11003,9073,1175,
66,10337,9048,7985,11182,9217,1184,
67,10338,9049,7985,11183,9218,1185,
68,10384,9225,8131,11249,9261,1211,
69,10384,9226,8131,11250,9261,1286,
70,10464,9267,8172,12745,10243,1296,
71,10480,9267,8174,12745,10243,1305,
72,15119,13450,11964,12745,10244,1315,
73,15120,13451,11964,12746,10244,1325,
74,15120,13451,11964,12830,10301,1337,
75,15121,13451,11965,12831,10302,1339,
76,15149,13514,12024,12831,10302,1340,
77,15150,13514,12024,12832,10303,1348,
78,15150,13515,12025,12832,10303,1351,
79,15151,13516,12026,12832,10303,1354,
80,15151,13516,12026,12833,10304,1363,
81,15152,13517,12026,30394,25699,1366,
82,15152,13518,12027,30394,25699,1369,
83,29759,25763,23632,31056,26328,1377,
84,29804,25805,23669,31111,26386,1387,
85,29804,25805,23669,31112,26387,1399,
86,30002,25953,23769,31420,26714,3270,
87,30003,25953,23769,31421,26714,3270,
88,30147,26068,23839,31686,26910,3271,
89,30147,26069,23840,31687,26911,3271,
90,30148,26069,23840,31687,26911,3280,
91,30148,26069,23840,31688,26911,3280,
92,83234,74904,66930,36895,31416,3281,
93,83371,75014,67018,37312,31686,3281,
94,83372,75015,67019,37312,31687,3281,
95,83380,75022,67025,37325,31699,3281,
96,87491,78735,70117,39049,33027,3282,
97,87493,78735,70117,39050,33027,20468,
98,87494,78736,70118,39051,33028,20522,
99,193904,174854,154416,137726,117165,20522,
100,193905,174854,154416,137727,117166,20523,
101,194250,175088,154703,138377,117716,22686,
102,194251,175089,154703,138377,117717,22687,
103,194251,175089,154703,138377,117717,22687,
104,648265,615296,571105,158385,134333,352202,
105,648266,615297,571105,158386,134334,352202,
106,648266,615297,571106,158386,134334,352203,
107,648267,615298,571106,158457,134394,352203,
108,648267,615298,571106,158855,134750,352203,
109,648267,615299,571107,158855,134751,352204,
110,648268,615299,571107,158856,134751,352204,
111,648985,616013,571705,160188,135688,352633,
112,678180,646136,599858,165212,140740,377197,
113,678180,646136,599859,165219,140741,377198,
114,678180,646137,599859,165220,140741,377198,
115,678181,646138,599859,165283,140780,377198,
116,678199,646160,599875,165284,140780,377204,
117,678199,646161,599876,165284,140780,377204,
118,678199,646161,599876,165382,140878,377205,
119,678335,646287,600008,165383,140879,377283,
120,2394288,2367888,2160101,1418901,1182947,2147419,
121,2394288,2367889,2160101,1418902,1182947,2147419,
122,2396064,2369586,2161697,1425572,1189009,2149275,
123,2396064,2369587,2161697,1425572,1189010,2149276,
124,2396891,2370323,2162471,1428672,1191544,2150040,
125,2396892,2370323,2162472,1428672,1191545,2150041,
126,2403027,2375983,2167198,1452005,1212089,2156081,
127,2403028,2375984,2167199,1452005,1212089,2156082,
128,2403028,2375984,2167199,1452006,1212089,2156082,
129,2403028,2375984,2167199,1452006,1212090,2156083,
130,2403029,2375985,2167199,1452006,1212090,2156083,
131,2510439,2486049,2265170,1599035,1339885,2274416,
132,2510446,2486057,2265182,1599048,1339897,2274416,
133,2866625,2852741,2598023,1664294,1399995,2674219,
134,2866625,2852742,2598023,1664294,1399995,2674220,
135,,,,1687888,1420732,,
136,,,,1687888,1420732,,
137,,,,1706626,1436815,,
138,,,,1707110,1437153,,
139,,,,1707111,1437154,,
