serial,dumpxml_JR_mode2_batch_steps,dumpxml_JR_mode3_batch_steps,dumpxml_JR_mode3_single_steps,dumpxml_JR_mode4_batch_steps,dumpxml_JR_mode5_batch_steps,dumpxml_SPF_mode0_NA_steps,
0,6,6,6,11,11,6,
1,0,0,0,6,6,3,
2,3,3,3,0,0,0,
3,0,0,0,15,15,0,
4,0,0,0,0,0,0,
5,0,0,0,1,1,0,
6,0,0,0,0,0,0,
7,0,0,0,1,1,0,
8,0,0,0,0,0,1,
9,0,0,0,1,1,2,
10,0,0,0,0,0,0,
11,0,0,0,1,1,0,
12,0,0,0,0,0,0,
13,0,0,0,0,0,0,
14,0,0,0,0,0,0,
15,0,0,0,2,2,0,
16,1,1,1,0,0,0,
17,0,0,0,0,0,5,
18,2,2,2,0,0,0,
19,0,0,0,4,4,0,
20,0,0,0,0,0,0,
21,0,0,0,14,14,0,
22,0,0,0,3,3,0,
23,0,0,0,0,0,0,
24,0,0,0,0,0,0,
25,0,0,0,0,0,0,
26,0,0,0,0,0,0,
27,0,0,0,0,0,15,
28,0,0,0,0,0,6,
29,0,0,0,0,0,1,
30,0,0,0,0,0,1,
31,0,0,0,0,0,1,
32,0,0,0,0,0,0,
33,0,0,0,0,0,1,
34,5,5,5,0,0,0,
35,6,6,6,0,0,0,
36,0,0,0,0,0,0,
37,0,0,0,0,0,0,
38,0,0,0,0,0,0,
39,15,15,15,0,0,1,
40,0,0,0,0,0,0,
41,1,1,1,0,0,0,
42,0,0,0,0,0,3,
43,1,1,1,0,0,0,
44,0,0,0,0,0,1,
45,1,1,1,0,0,2,
46,0,0,0,0,0,1,
47,1,1,1,0,0,0,
48,0,0,0,0,0,1,
49,0,0,0,0,0,0,
50,0,0,0,0,0,0,
51,0,0,0,0,0,0,
52,0,0,0,0,0,0,
53,0,0,0,0,0,0,
54,0,0,0,0,0,0,
55,0,0,0,0,0,0,
56,0,0,0,0,0,0,
57,0,0,0,0,0,0,
58,0,0,0,0,0,0,
59,4,4,4,0,0,2,
60,0,0,0,0,0,0,
61,1,14,14,0,0,1,
62,0,3,3,0,0,0,
63,1,0,0,0,0,1,
64,0,0,0,0,0,0,
65,1,0,0,0,0,1,
66,0,0,0,0,0,0,
67,1,0,0,0,0,2,
68,0,0,0,0,0,2,
69,1,0,0,0,0,0,
70,0,0,0,0,0,1,
71,3,0,0,0,0,0,
72,0,0,0,0,0,0,
73,3,0,0,0,0,0,
74,0,0,0,0,0,2,
75,3,0,0,0,0,3,
76,0,0,0,0,0,2,
77,1,0,0,0,0,0,
78,0,0,0,0,0,1,
79,1,0,0,0,0,0,
80,0,0,0,0,0,0,
81,1,0,0,0,0,0,
82,0,0,0,0,0,0,
83,0,0,0,0,0,1,
84,0,0,0,0,0,1,
85,0,0,0,0,0,1,
86,0,0,0,0,0,1,
87,0,0,0,0,0,1,
88,0,0,0,0,0,3,
89,0,0,0,0,0,3,
90,0,0,0,0,0,3,
91,0,0,0,0,0,1,
92,0,0,0,0,0,1,
93,0,0,0,0,0,1,
94,0,0,0,0,0,0,
95,0,0,0,0,0,0,
96,0,0,0,0,0,0,
97,0,0,0,2,2,0,
98,0,0,0,0,0,0,
99,0,0,0,0,0,0,
