serial,printtokens2_JR_mode2_batch_steps,printtokens2_JR_mode3_batch_steps,printtokens2_JR_mode3_single_steps,printtokens2_JR_mode4_batch_steps,printtokens2_JR_mode5_batch_steps,printtokens2_SPF_mode0_NA_steps,
0,141,99,96,108,79,78,
1,142,100,96,111,79,79,
2,148,103,99,119,82,82,
3,2299,1844,1618,1766,1509,114,
4,2300,1845,1619,1767,1510,114,
5,2301,1845,1619,1767,1510,115,
6,2301,1845,1620,1768,1511,115,
7,2302,1846,1620,1768,1511,115,
8,2303,1846,1621,1769,1511,116,
9,2304,1847,1621,1770,1512,116,
10,2304,1847,1621,1770,1512,117,
11,2305,1847,1622,1771,1513,117,
12,2306,1848,1622,1771,1513,117,
13,2306,1848,1623,1772,1513,117,
14,2307,1848,1623,1772,1514,118,
15,2307,1849,1623,1772,1514,118,
16,2308,1849,1624,1773,1514,118,
17,2309,1850,1629,1773,1515,119,
18,2309,1850,1629,1773,1515,119,
19,2310,1850,1630,1774,1515,119,
20,2310,1851,1630,1774,1516,120,
21,2311,1851,1631,1774,1516,120,
22,2311,1851,1631,1775,1516,120,
23,2312,1852,1632,1775,1517,120,
24,2313,1852,1633,1778,1517,121,
25,2314,1853,1634,1779,1518,121,
26,2314,1853,1634,1779,1518,121,
27,2316,1854,1637,1780,1519,122,
28,2316,1854,1638,1781,1519,122,
29,2317,1854,1641,1781,1519,122,
30,2318,1855,1641,1781,1520,123,
31,2318,1855,1642,1782,1520,123,
32,2319,1856,1643,1785,1520,123,
33,2320,1856,1644,1785,1521,123,
34,2321,1856,1644,1786,1521,124,
35,2322,1857,1645,1786,1522,124,
36,2323,1857,1646,1787,1522,124,
37,2323,1858,1646,1787,1522,125,
38,2324,1858,1646,1788,1523,125,
39,2324,1858,1647,1788,1523,125,
40,2325,1859,1648,1789,1523,125,
41,2326,1859,1648,1789,1524,126,
42,2326,1859,1648,1789,1524,126,
43,2327,1860,1649,1790,1524,126,
44,2327,1860,1649,1790,1525,126,
45,2367,1878,1692,1818,1549,129,
46,2368,1879,1693,1818,1549,129,
47,2378,1884,1701,1824,1554,136,
48,2391,1891,1722,1830,1561,144,
49,2801,2144,1937,2109,1743,148,
50,2809,2148,1942,2113,1751,148,
51,2810,2149,1943,2114,1752,150,
52,2823,2170,1959,2135,1777,151,
53,2824,2171,1959,2135,1777,214,
54,3176,2435,2184,2420,2008,229,
55,3177,2435,2185,2421,2009,229,
56,3199,2456,2207,2450,2028,232,
57,3202,2456,2208,2451,2028,232,
58,3222,2464,2216,2462,2036,235,
59,3223,2464,2217,2463,2037,235,
60,3268,2489,2245,2495,2056,238,
61,3330,2566,2313,2594,2123,257,
62,3375,2605,2363,2642,2169,272,
63,3383,2613,2371,2650,2177,275,
