serial,replace11_JR_mode2_batch_steps,replace11_JR_mode3_batch_steps,replace11_JR_mode3_single_steps,replace11_JR_mode4_batch_steps,replace11_JR_mode5_batch_steps,replace11_SPF_mode0_NA_steps,
0,8344,6613,5511,6572,5963,83,
1,8671,7420,6230,7279,6632,83,
2,8671,7420,6230,7280,6632,84,
3,8857,7580,6366,7431,6750,85,
4,8858,7581,6367,7491,6808,85,
5,9065,7732,6492,7491,6808,87,
6,9107,7933,6648,7492,6809,88,
7,9108,8052,6730,7552,6873,89,
8,9113,8053,6730,7614,6940,89,
9,9166,8534,7138,7615,6941,90,
10,9167,8535,7138,7667,6992,90,
11,9282,8708,7288,7866,7155,90,
12,9283,8709,7289,9821,9022,92,
13,9284,8780,7355,9821,9022,93,
14,9286,8823,7398,10531,9606,95,
15,11074,8824,7398,10532,9607,95,
16,11075,8824,7399,10732,9780,97,
17,11076,8825,7399,10806,9848,103,
18,11076,10369,8696,10806,9849,104,
19,11078,10370,8696,10807,9849,104,
20,11078,10370,8696,10807,9849,104,
21,11079,10370,8697,12325,11540,105,
22,11079,10371,8697,12326,11541,107,
23,11079,10371,8697,12326,11541,108,
24,11498,10372,8697,12327,11542,108,
25,11499,10372,8698,12327,11542,109,
26,11499,10372,8698,12327,11542,114,
27,11500,10998,9173,12328,11543,115,
28,11500,10998,9173,12328,11543,115,
29,12047,10999,9174,12329,11543,116,
30,12078,10999,9174,12971,12079,116,
31,12079,11000,9174,12972,12079,116,
32,12079,11693,9897,12972,12079,117,
33,12079,11728,10331,12972,12080,117,
34,12080,11728,10331,12975,12080,117,
35,12134,11729,10331,15376,13731,120,
36,12135,11729,10332,15528,13903,120,
37,12135,11729,10332,15528,13903,120,
38,12136,11730,10332,15529,13904,121,
39,12136,11730,10332,15529,13904,121,
40,12137,11730,10332,15529,13904,122,
41,12137,11796,10388,15530,13904,122,
42,12138,11796,10388,15530,13904,122,
43,12342,11797,10388,15530,13905,123,
44,12419,11798,10389,15531,13905,123,
45,12420,11798,10389,15531,13905,125,
46,12977,11798,10389,15531,13905,126,
47,13049,11799,10390,15532,13905,126,
48,13091,11799,10390,15799,14083,126,
49,13115,12053,10618,15800,14083,127,
50,13156,12478,10702,15800,14084,127,
51,13271,12479,10703,15801,14084,128,
52,13332,13429,11466,15801,14084,131,
53,13387,13503,11520,15802,14084,143,
54,33472,13547,11563,15802,14084,143,
55,33570,13580,11594,15803,14085,144,
56,33744,13703,11669,16501,14765,144,
57,33744,13707,11670,16760,15009,144,
58,33744,13836,11790,16761,15010,146,
59,35571,13943,11896,19819,17432,146,
60,44746,14620,12397,19968,17530,147,
61,44804,102565,92216,20093,17625,190,
62,44804,102697,92374,20161,17721,1042,
63,97315,241139,217967,20313,17872,1043,
64,97315,241294,218130,20725,18287,1043,
65,97316,252710,230501,21013,18566,1286,
66,97316,252818,230595,21235,18852,2408,
67,97316,264696,240341,22590,20367,2408,
68,523056,1159795,1037377,1833988,1656386,13757,
