serial,schedule2_JR_mode2_batch_steps,schedule2_JR_mode3_batch_steps,schedule2_JR_mode4_batch_steps,schedule2_JR_mode5_batch_steps,schedule2_SPF_mode0_NA_steps,
0,124,136,170,83,105,
1,131,141,175,87,112,
2,137,144,179,91,116,
3,138,145,180,92,116,
4,139,146,181,93,117,
5,140,146,182,95,118,
6,141,148,183,96,119,
7,142,150,184,98,138,
8,144,152,186,101,141,
9,145,154,187,102,142,
10,146,156,188,104,149,
11,146,156,189,104,151,
12,147,157,189,105,152,
13,147,160,190,106,154,
14,148,161,190,107,154,
15,149,162,191,109,155,
16,151,163,192,110,156,
17,152,164,193,111,156,
18,153,165,193,111,157,
19,153,166,194,112,158,
20,154,167,195,114,158,
21,155,168,197,116,159,
22,156,169,198,117,160,
23,159,171,200,121,162,
24,159,172,201,122,163,
25,160,173,202,124,165,
26,166,174,204,126,169,
27,183,218,219,142,213,
28,220,252,271,177,258,
29,221,253,272,179,259,
30,222,255,273,180,259,
31,2655,4677,4756,3600,306,
32,2659,4682,4763,3602,310,
33,2678,4689,4767,3605,312,
34,2680,4691,4769,3607,314,
35,2680,4692,4771,3608,315,
36,2699,4700,4775,3615,319,
37,2700,4701,4776,3616,320,
38,2705,4705,4783,3621,325,
39,2706,4705,4783,3622,325,
40,2773,4750,4851,3673,442,
41,2774,4751,4852,3673,443,
42,2775,4751,4853,3674,445,
43,2788,4758,4865,3684,519,
44,2828,6279,6366,4774,521,
45,2845,6290,6380,4783,532,
46,2887,7770,7811,5755,534,
47,2888,7771,7812,5756,535,
48,2901,7781,7818,6087,542,
49,2932,9037,8707,6763,545,
50,2933,9039,8708,6764,547,
51,2952,9049,8714,6775,570,
52,2992,9667,9317,7250,575,
53,2994,9669,9317,7251,577,
54,2995,9670,9318,7251,579,
55,3001,9671,9319,7252,581,
56,3046,9683,9334,7265,598,
57,3076,9846,9481,7415,601,
58,3078,9847,9483,7416,602,
59,3088,9854,9828,7424,612,
60,3199,9951,9928,7510,716,
