serial,tcas_JR_mode2_batch_steps,tcas_JR_mode3_batch_steps,tcas_JR_mode3_single_steps,tcas_JR_mode4_batch_steps,tcas_JR_mode5_batch_steps,tcas_SPF_mode0_NA_steps,
0,84,89,110,96,118,138,
1,2726,3835,3459,3401,3437,178,
2,2803,3835,3460,3402,3438,180,
3,2877,5646,5072,4988,4941,182,
4,2929,7733,6712,6655,6694,182,
5,3021,7734,6713,6656,6695,185,
6,3060,7734,6714,6656,6696,186,
7,3096,7735,6714,6657,6696,201,
8,3102,7735,6715,6657,6696,208,
9,3315,7736,6756,6658,6697,211,
10,3399,7736,6756,6658,6697,212,
11,3399,7736,6756,6658,6697,212,
12,3461,7737,6756,6658,6697,213,
13,4074,7737,6757,6659,6698,213,
14,5035,7738,6757,6659,6698,214,
15,5036,7738,6758,6660,6698,214,
16,5041,7738,6758,6660,6699,217,
17,5042,7739,6758,6660,6699,217,
18,5043,7739,6758,6660,6699,218,
19,5043,7739,6759,6661,6700,218,
20,5044,7740,6759,6661,6700,219,
21,5044,7740,6759,6661,6701,219,
22,5047,7740,6760,6662,6701,220,
23,5048,7741,6760,6662,6701,221,
24,5048,7741,6760,6662,6702,221,
25,5049,7742,6760,6662,6702,222,
26,5050,7742,6761,6663,6703,222,
27,5052,7742,6761,6663,6703,222,
28,5052,7743,6761,6663,6703,223,
29,5053,7743,6762,6663,6704,225,
30,5054,16221,10959,9176,11253,225,
31,5055,16222,10959,9177,11254,225,
32,5056,16222,10960,9177,11254,226,
33,5056,16223,10960,9177,11254,236,
34,5058,16223,10960,9178,11255,236,
35,5059,16224,10961,9178,11255,237,
36,6461,16224,10961,9178,11256,237,
37,6462,67685,98143,63926,58870,237,
38,6462,67685,98143,63926,58871,239,
39,6463,67685,98144,63926,58871,239,
40,6463,67686,98144,63926,58872,249,
41,6464,67686,98144,63927,58872,251,
42,6465,67686,98145,63927,58872,256,
43,6614,67687,98145,63927,58873,259,
44,6614,67687,98145,63927,58873,264,
45,6615,67687,98145,63928,58874,274,
46,6615,67687,98146,63928,58884,314,
47,6616,67688,98146,63928,58885,315,
48,6617,67688,98146,63929,58885,315,
49,6617,67688,98146,63929,58886,315,
50,6618,67689,98147,63929,58886,365,
51,6618,67689,98147,63929,58886,366,
52,7008,67689,98147,63930,58887,369,
53,8737,67690,98147,63930,58887,390,
54,9962,67690,98148,63930,58888,392,
55,10037,67690,98148,63931,58888,392,
56,15708,67691,98148,63931,58888,393,
57,15785,67691,98149,63931,58889,416,
58,23444,67691,98149,63931,58889,462,
59,30839,67692,98149,63932,58889,463,
60,30902,67692,98149,63932,58890,711,
61,31464,67692,98150,63932,58890,2756,
62,31629,67693,98150,63933,58891,2756,
63,31866,67693,98150,63933,58891,2759,
64,31867,67693,98151,63933,58892,2767,
65,31867,67694,98151,63934,58892,2768,
66,32103,67694,98151,63934,58893,2774,
67,32190,67694,98152,63934,58893,2777,
68,32490,67695,98152,63934,58893,2794,
69,32689,67695,98152,63935,58894,2795,
70,32689,67695,98152,63935,58894,2798,
71,40556,67695,98153,63935,58894,2798,
72,40763,67696,98153,63935,58895,2842,
73,42006,67696,98153,63936,58895,3389,
74,42106,67696,98153,63936,58895,3394,
75,43271,67696,98154,63936,58896,3478,
76,67553,67697,98154,63936,58896,3482,
77,129392,67697,98154,63937,58896,3579,
78,129681,67697,98154,63937,58897,5164,
79,129682,67698,98155,63937,58897,9124,
80,247006,67698,98155,63937,58898,9150,
81,247177,67698,98155,63938,58898,9178,
82,247177,76694,99597,70155,65554,9180,
83,247177,77399,100301,70907,66259,9180,
84,247177,91497,127312,82920,88322,16130,
