serial,wbs_JR_mode2_batch_steps,wbs_JR_mode3_batch_steps,wbs_JR_mode3_single_steps,wbs_JR_mode4_batch_steps,wbs_JR_mode5_batch_steps,wbs_SPF_mode0_NA_steps,
0,135,115,168,139,101,133,
1,137,119,169,142,102,134,
2,3548,3900,3588,3273,3163,173,
3,3548,3901,3589,3273,3164,176,
4,3549,3904,3590,3274,3164,176,
5,3559,3905,3590,3274,3165,178,
6,3562,3905,3590,3275,3165,178,
7,3562,3906,3591,3275,3166,179,
8,3562,3906,3591,3275,3166,180,
9,3563,3906,3592,3276,3166,181,
10,3563,3907,3592,3276,3167,182,
11,3563,3907,3592,3277,3167,184,
12,3564,3907,3593,3278,3167,185,
13,3595,3965,3624,3314,3200,185,
14,3595,3968,3625,3315,3201,185,
15,3847,4331,3855,3497,3488,186,
16,3968,4452,4001,3661,3632,187,
17,4559,5018,4517,4220,4178,188,
18,5023,5514,5017,4777,4640,189,
19,5522,6038,5474,5277,5146,189,
20,6011,6503,5936,5673,5581,189,
21,10769,11116,10778,10238,10965,190,
22,51613,52573,107693,51090,52294,192,
23,51614,52573,107694,51091,52294,193,
24,51614,52574,107694,51091,52295,194,
25,51614,52574,107694,51091,52295,201,
26,51615,52575,107694,51092,52295,206,
27,51615,52575,107695,51092,52296,213,
28,51615,52576,107695,51092,52296,220,
29,51616,52576,107695,51093,52296,221,
30,51616,52577,107695,51093,52296,240,
31,51617,52577,107696,51093,52297,240,
32,51617,52577,107696,51093,52297,241,
33,51617,52577,107696,51094,52297,241,
34,51618,52578,107697,51094,52298,241,
35,51618,52578,107697,51094,52298,242,
36,51618,52578,107697,51095,52298,252,
37,51619,52579,107697,51095,52298,286,
38,51619,52579,107698,51095,52299,288,
39,51619,52579,107698,51096,52299,294,
40,51620,52580,107698,51096,52299,295,
41,51623,52580,107698,51096,52300,311,
42,51625,52580,107699,51096,52300,311,
43,51626,52580,107699,51097,52300,311,
44,51627,52581,107699,51097,52300,312,
45,51628,52581,107699,51098,52301,312,
46,51628,52581,107700,51098,52301,361,
47,51629,52582,107700,51098,52301,364,
48,51629,52582,107700,51099,52301,374,
49,51630,52582,107700,51099,52302,375,
50,51630,52582,107701,51099,52302,383,
51,51630,52583,107701,51100,52302,383,
52,51631,52583,107701,51100,52302,384,
53,51632,52583,107701,51100,52303,384,
54,51632,52584,107702,51101,52303,385,
55,51633,52584,107702,51101,52303,417,
56,51633,52585,107702,51101,52303,420,
57,51633,52585,107702,51101,52304,426,
58,51633,52585,107703,51102,52304,426,
59,51634,52586,107703,51102,52304,435,
60,51634,52586,107703,51102,52304,436,
61,51634,52586,107703,51103,52305,437,
62,51635,52587,107704,51103,52305,469,
63,51635,52587,107704,51103,52305,476,
64,51636,52587,107704,51104,52305,493,
65,51636,52587,107704,51104,52306,493,
66,51637,52588,107705,51104,52306,545,
67,51637,52588,107705,51104,52306,604,
68,51638,52588,107705,51105,52306,604,
