serial,cli_JR_mode3_batch_steps,cli_JR_mode3_single_steps,cli_SPF_mode0_NA_steps,
0,104,118,101,
1,105,119,101,
2,105,119,102,
3,106,119,102,
4,106,120,103,
5,107,121,103,
6,107,121,104,
7,108,122,104,
8,137,150,131,
9,137,150,132,
10,138,151,132,
11,158,168,146,
12,192,240,203,
13,194,242,205,
14,211,254,216,
15,221,264,226,
16,4211,4232,260,
17,4213,4234,261,
18,4781,4960,263,
19,4781,4960,264,
20,4782,4961,265,
21,4835,5052,267,
22,4844,5066,282,
23,4844,5066,282,
24,4845,5067,283,
25,4845,5067,283,
26,4852,5079,291,
27,4894,5112,320,
28,4904,5123,331,
29,6300,6662,1381,
30,6794,7181,1382,
31,6840,7247,1383,
32,7854,8147,2502,
33,7855,8148,2503,
34,14341,15007,3079,
35,15108,15962,3083,
36,15109,15963,3083,
37,15109,15963,3084,
38,15110,15964,3084,
39,15885,16587,3086,
40,16020,16786,3086,
41,16020,16787,3087,
42,16020,16787,3087,
43,16021,16787,3088,
44,16021,16788,3088,
45,16775,17640,3088,
46,17002,17816,3089,
47,17003,17817,3091,
48,17003,17817,3091,
49,17162,17958,3092,
50,17163,17959,3092,
51,17163,17960,3093,
52,17163,17960,3093,
53,17164,17960,3095,
54,17164,17960,3096,
55,17164,17961,3097,
56,18077,18620,3097,
57,18078,18621,3097,
58,18078,18621,3097,
59,18078,18621,3098,
60,18336,18933,3120,
61,18495,19079,3127,
62,18495,19080,3134,
63,18495,19080,3137,
64,18496,19080,3137,
65,18496,19081,3137,
66,18732,19366,3138,
67,18732,19367,3138,
68,41293,41473,22086,
69,41294,41474,22087,
70,41294,41474,22087,
71,41294,41474,22087,
72,41803,41824,22187,
73,42425,42392,22191,
74,42486,42465,22193,
75,42496,42477,22198,
76,60196,59180,46204,
77,60231,59203,46207,
78,74141,72498,67256,
79,74817,73098,67258,
80,76523,74798,69613,
81,76540,74799,69613,
82,76540,74799,69613,
83,76540,74799,69614,
84,76541,74800,69614,
85,76654,74856,69619,
86,78890,77183,70520,
87,78891,77184,70520,
88,78891,77184,70520,
