serial,dumpxml_JR_mode2_batch_steps,dumpxml_JR_mode3_batch_steps,dumpxml_JR_mode3_single_steps,dumpxml_JR_mode4_batch_steps,dumpxml_JR_mode5_batch_steps,dumpxml_SPF_mode0_NA_steps,
0,2113,1509,1661,1691,1676,120,
1,2115,1513,1663,1693,1677,121,
2,2138,1536,1689,1716,1701,125,
3,2138,1537,1689,1716,1702,125,
4,2316,1705,1861,3335,3227,128,
5,2418,1778,1983,3884,3700,137,
6,2569,1901,2173,3887,3704,211,
7,2579,1914,2179,3888,3704,217,
8,2580,1915,2180,4367,4148,218,
9,2684,2012,2308,4402,4195,333,
10,2691,2020,2314,4402,4195,345,
11,2777,3393,3597,4436,4228,346,
12,3429,4002,4203,4438,4229,538,
13,3432,4004,4205,4438,4230,541,
14,3433,4005,4205,4439,4230,542,
15,3810,4369,4553,4439,4230,547,
16,3827,4387,4571,4439,4231,555,
17,3852,4410,4589,4659,4413,751,
18,3853,4411,4590,4659,4413,751,
19,3853,4412,4591,4660,4414,753,
20,3854,4412,4591,4661,4415,753,
21,3854,4413,4591,4661,4415,754,
22,3854,4413,4592,4662,4415,754,
23,4025,4560,4720,4662,4416,754,
24,4026,4560,4720,4663,4416,755,
25,4026,4561,4721,4663,4416,755,
26,4027,4561,4721,4663,4417,755,
27,4027,4562,4721,4664,4417,756,
28,4028,4562,4722,4664,4417,756,
29,4028,4562,4722,4665,4418,757,
30,4029,4563,4722,4665,4418,757,
31,4029,4563,4723,4667,4420,758,
32,4029,4564,4723,4736,4514,771,
33,4030,4564,4723,4818,4613,773,
34,4030,4564,4724,4888,4712,774,
35,4031,4565,4724,4964,4801,774,
36,4031,4565,4725,5096,4966,775,
37,4032,4566,4726,5175,5027,775,
38,4111,4617,4795,5176,5027,789,
39,4175,4678,4890,5176,5028,805,
40,4238,4741,4944,5176,5028,820,
41,4302,4835,5009,5876,5780,865,
42,4739,5592,5733,5877,5780,1023,
43,4740,5592,5734,5877,5781,1083,
44,4740,5593,5734,5878,5781,1084,
45,4740,5593,5734,6715,6738,1084,
46,5110,6587,6645,6715,6738,1126,
47,5199,6587,6645,6715,6739,1148,
48,5274,6587,6645,6716,6739,1148,
49,5343,6587,6646,6716,6740,1161,
50,5407,6588,6646,6716,6740,1191,
51,5476,6588,6646,6717,6740,1370,
52,5499,6588,6646,6717,6741,1372,
53,5500,6588,6647,6721,6741,1401,
54,5529,6589,6647,6721,6741,1427,
55,5554,6589,6647,6721,6742,1456,
56,5578,6589,6649,6722,6742,1485,
57,5631,6589,6649,6722,6742,1486,
58,5655,6589,6650,6723,6743,1505,
59,5675,6590,6650,6930,6902,1507,
60,5705,6753,6778,6930,6903,1543,
61,5744,6754,6779,6930,6903,1599,
62,5790,6754,6779,10034,9656,1600,
63,8167,8778,9090,10040,9663,1616,
64,8168,8778,9090,10573,10367,1617,
65,8168,8778,9090,10574,10367,1617,
66,8169,8779,9091,10574,10367,1627,
67,8169,8779,9091,10575,10368,1628,
68,8213,8903,9236,10575,10368,1663,
69,8214,8904,9236,10735,10551,1777,
70,8256,8931,9264,10736,10552,1789,
71,8257,8931,9264,10803,10614,1803,
72,12184,13490,13235,10804,10614,1815,
73,12185,13492,13235,12141,11960,1827,
74,12185,13492,13236,12143,11961,1839,
75,12186,13492,13236,12143,11961,1842,
76,12221,13553,13292,12144,11961,1842,
77,12222,13553,13293,12231,12045,1852,
78,12223,13554,13294,12231,12045,1856,
79,12223,13554,13294,12232,12046,1862,
80,12224,13554,13294,12232,12046,1876,
81,12224,13555,13295,12233,12047,1879,
82,12225,13555,13295,12233,12047,1884,
83,26580,25804,24962,12235,12048,1901,
84,26647,25837,25006,31821,30774,1918,
85,26647,25838,25006,31821,30774,1939,
86,26909,25990,25161,32620,31566,4923,
87,26914,25991,25161,32684,31611,4923,
88,27173,26119,25282,32685,31611,4923,
89,27174,26120,25282,33032,31860,4924,
90,27175,26120,25283,33032,31861,4939,
91,27175,26121,25283,33328,32160,4939,
92,80988,75879,72625,33329,32160,4940,
93,81077,75994,72756,33329,32161,4940,
94,81078,75995,72756,33329,32161,4940,
95,81090,76003,72765,38800,38132,4941,
96,85656,79616,76460,39272,38553,4941,
97,85657,79617,76461,39287,38567,32900,
98,85657,79617,76461,40810,40214,32955,
99,190132,172900,168535,40849,40253,32956,
