serial,cli_JR_mode2_batch_steps,cli_JR_mode3_batch_steps,cli_JR_mode4_batch_steps,cli_JR_mode5_batch_steps,cli_SPF_mode0_NA_steps,
0,186,210,271,225,289,
1,193,215,272,229,298,
2,197,216,273,230,298,
3,197,217,273,230,299,
4,198,218,274,231,300,
5,199,218,275,231,301,
6,201,219,276,232,303,
7,201,225,276,233,310,
8,270,319,320,317,388,
9,285,320,320,321,393,
10,285,320,321,322,394,
11,318,365,346,346,431,
12,405,449,369,397,496,
13,408,454,372,399,500,
14,441,485,433,415,518,
15,477,514,447,431,543,
16,6190,7790,6114,6391,596,
17,6192,7792,6118,6393,597,
18,6279,8736,6631,6887,600,
19,6279,8737,6632,6888,601,
20,6280,8752,6633,6888,608,
21,6280,8754,6642,6890,610,
22,6281,8757,6643,6891,612,
23,6287,8773,6654,6896,640,
24,6287,8776,6656,6896,653,
25,6288,8788,6657,6897,654,
26,6288,8789,6658,6897,665,
27,6300,8834,6682,6927,688,
28,6371,8924,6797,7012,737,
29,6382,9309,6807,7046,751,
30,6485,10109,7214,7482,754,
31,6486,10110,7215,7483,767,
32,6487,10114,7217,7487,768,
33,6489,10118,7219,7491,771,
34,6490,10118,7221,7492,771,
35,6491,10119,7234,7493,773,
36,6492,10120,7235,7493,774,
37,6493,10121,7236,7494,776,
38,6493,10121,7236,7495,777,
39,6495,10123,7237,7496,779,
40,6496,10123,7238,7497,779,
41,6498,10125,7240,7499,781,
42,6505,10125,7252,7507,781,
43,6507,10126,7253,7508,782,
44,6508,10127,7254,7510,782,
45,6509,10128,7255,7510,783,
46,6510,10129,7256,7511,783,
47,6510,10130,7258,7512,784,
48,6512,10131,7268,7513,786,
49,6513,10133,7269,7514,788,
50,6522,10136,7275,7517,790,
51,6522,10137,7280,7520,791,
52,6523,10138,7281,7521,792,
53,6523,10138,7285,7523,793,
54,6524,10138,7285,7524,794,
55,6525,10146,7287,7526,797,
56,6526,10148,7293,7529,800,
57,6526,10149,7294,7530,801,
58,6527,10149,7295,7531,802,
59,6527,10150,7296,7531,803,
60,6528,10150,7297,7533,804,
61,6528,10151,7297,7534,805,
62,6529,10152,7298,7535,807,
63,6530,10153,7300,7536,808,
64,6530,10157,7302,7536,809,
65,6537,10172,7316,7542,819,
66,6539,10178,7328,7565,822,
67,6540,10179,7329,7566,825,
68,6540,10180,7330,7567,827,
69,10255,13189,9784,10375,968,
70,10256,13190,9787,10376,971,
71,10256,13191,9787,10377,974,
72,18552,20824,17097,18966,27110,
73,18553,20825,17098,18967,27111,
74,18553,20825,17099,18967,27111,
75,18553,20826,17099,18967,27112,
