serial,dumpxml_JR_mode2_batch_steps,dumpxml_JR_mode3_batch_steps,dumpxml_JR_mode4_batch_steps,dumpxml_JR_mode5_batch_steps,dumpxml_SPF_mode0_NA_steps,
0,2606,2815,3390,2189,286,
1,2608,2817,3392,2194,288,
2,2641,2856,3447,2219,294,
3,2641,2857,3447,2220,295,
4,2950,3162,6395,4047,299,
5,3049,3309,7672,4655,316,
6,3148,3377,7681,4660,390,
7,3173,3407,7682,4660,400,
8,3176,3408,7979,4799,401,
9,3234,3445,8065,4841,435,
10,3250,3456,8068,4842,445,
11,3389,5662,8109,4862,448,
12,3608,6703,8120,4868,549,
13,3612,6710,8121,4869,554,
14,3612,6710,8122,4871,555,
15,4211,6867,8123,4872,563,
16,4261,6898,8124,4873,572,
17,4273,6912,8298,4959,577,
18,4287,6915,9138,5458,578,
19,4290,6916,9547,5630,578,
20,4291,6918,9558,5631,579,
21,4291,6919,9558,5631,579,
22,4292,6920,9722,5712,650,
23,4393,6994,9734,5713,738,
24,4435,7857,9736,5714,742,
25,4563,8109,9839,5764,833,
26,4564,8110,9845,5764,835,
27,4564,8111,10083,5846,836,
28,4649,8164,10092,5851,868,
29,4651,8165,10221,5915,869,
30,4651,8165,10551,6120,870,
31,4694,8217,10689,6190,906,
32,4694,8217,10755,6213,908,
33,4760,8292,10768,6214,979,
34,4785,8473,10874,6277,996,
35,4929,8549,10906,6294,1032,
36,4950,8570,11023,6349,1063,
37,4951,8571,11104,6370,1065,
38,4973,8598,11106,6371,1093,
39,5007,8619,11107,6372,1095,
40,5097,8653,11108,6372,1133,
41,5118,8685,11269,6457,1155,
42,5118,8686,11424,6537,1155,
43,5119,8687,11425,6538,1156,
44,5120,8688,11426,6539,1156,
45,5139,8715,11426,6539,1178,
46,5195,8758,11436,6539,1224,
47,5196,8759,11436,6540,1225,
48,5197,8760,11437,6540,1226,
49,5198,8761,11438,6541,1226,
50,5198,8762,11439,6541,1226,
51,5198,8762,11439,6542,1227,
52,5199,8762,11440,6542,1227,
53,5199,8763,11441,6542,1228,
54,5200,8763,11441,6543,1228,
55,5200,8764,11442,6543,1229,
56,5200,8764,11442,6544,1229,
57,5201,8765,11444,6544,1230,
58,5201,8765,11528,6595,1231,
59,5202,8766,11648,6650,1232,
60,5202,8766,11787,6704,1232,
61,5205,8769,11948,6779,1233,
62,5271,8819,12340,7013,1250,
63,5356,8881,12348,7022,1308,
64,5423,8926,20563,12724,1326,
65,5477,8966,20563,12725,1345,
66,5918,10312,20564,12725,1426,
67,6071,10312,20564,12725,1519,
68,6127,10313,20564,12726,1528,
69,6187,10313,20565,12726,1538,
70,6246,10314,20565,12726,1557,
71,6324,10314,20566,12727,1601,
72,6325,10315,20566,12728,1605,
73,6390,10315,20567,12728,1619,
74,6426,10316,20567,12729,1622,
75,6450,10316,20568,12729,1639,
76,6475,10317,21221,13285,1644,
77,6513,10318,21222,13286,1647,
78,6555,20602,21223,13287,1660,
79,6588,20606,21223,13287,1661,
80,6590,20607,21223,13288,1664,
81,6592,20608,21224,13289,1665,
82,6594,20608,21224,13289,1665,
83,6596,20608,21224,13289,1666,
84,6608,20610,21225,13290,1666,
85,6611,20612,21225,13290,1667,
86,6613,20613,21225,13291,1668,
87,6623,20617,21227,13292,1668,
88,6625,20620,21477,13580,1669,
89,6628,20624,21477,13581,1669,
90,6639,20626,25447,16705,1673,
91,6684,20755,25448,16706,1686,
92,9029,96065,25449,16706,4258,
93,9029,96065,25450,16707,4258,
94,9030,96065,25938,17162,4259,
95,9032,96066,25939,17163,4259,
96,9050,96184,25940,17163,4275,
97,9051,96185,25942,17165,4276,
98,9051,96185,25942,17165,4276,
99,9052,96186,25944,17166,4277,
100,9052,96186,25945,17169,4277,
101,9053,96186,27719,18586,4278,
102,9054,96187,32975,22930,4280,
103,9287,97797,33952,23847,4523,
104,35348,108549,33953,23848,37151,
105,35437,109067,33979,23865,37214,
106,35438,109068,40659,30136,37215,
107,35445,109085,40660,30137,37217,
