serial,dumpxml_JR_mode2_batch_steps,dumpxml_JR_mode3_batch_steps,dumpxml_JR_mode4_batch_steps,dumpxml_JR_mode5_batch_steps,dumpxml_SPF_mode0_NA_steps,
0,6,6,11,11,6,
1,0,0,6,6,3,
2,3,3,0,0,0,
3,0,0,8,8,1,
4,0,0,0,0,2,
5,0,0,2,2,0,
6,1,1,0,0,0,
7,0,0,0,0,10,
8,2,2,0,0,1,
9,0,0,2,2,0,
10,0,0,0,0,0,
11,0,0,3,3,2,
12,0,0,0,0,0,
13,0,0,2,2,3,
14,5,5,0,0,3,
15,6,6,0,0,2,
16,0,0,0,0,0,
17,2,2,3,3,2,
18,0,0,0,0,1,
19,0,0,4,4,2,
20,0,0,0,0,2,
21,3,3,0,0,1,
22,0,0,0,0,4,
23,3,3,17,17,1,
24,0,0,0,0,16,
25,2,2,1,1,1,
26,0,0,0,0,1,
27,0,0,1,1,1,
28,0,0,0,0,1,
29,2,2,1,1,0,
30,0,0,0,0,1,
31,1,1,1,1,0,
32,0,0,0,0,0,
33,2,2,0,0,0,
34,0,0,0,0,1,
35,2,2,0,0,1,
36,0,0,0,0,1,
37,1,1,0,0,1,
38,0,0,0,0,2,
39,4,4,2,2,2,
40,0,0,0,0,3,
41,1,1,12,12,13,
42,0,0,14,14,1,
43,16,16,0,0,0,
44,0,0,0,0,0,
45,1,1,4,4,0,
46,0,0,0,0,0,
47,1,1,7,7,0,
48,0,0,0,0,0,
49,1,1,0,0,0,
50,0,0,0,0,0,
51,1,1,1,1,0,
52,0,0,0,0,0,
53,0,0,0,0,0,
54,0,0,0,0,0,
55,1,12,0,0,0,
56,0,0,0,0,0,
57,0,0,0,0,0,
58,0,0,0,0,0,
59,0,0,0,0,0,
60,0,0,0,0,0,
61,0,0,1,1,0,
62,0,0,0,0,0,
63,1,0,0,0,0,
64,0,0,0,0,0,
65,1,0,3,3,0,
66,0,0,0,0,0,
67,1,0,0,0,0,
68,0,0,0,0,0,
69,1,0,0,0,0,
70,0,0,0,0,0,
71,2,0,0,0,0,
72,0,0,0,0,0,
73,2,0,0,0,0,
74,0,0,0,0,0,
75,3,0,0,0,0,
76,0,13,0,0,0,
77,13,0,0,0,0,
78,0,1,0,0,0,
79,1,0,0,0,0,
80,0,0,0,0,0,
81,0,0,0,0,0,
82,0,0,0,0,0,
83,0,0,0,0,0,
84,0,0,0,0,0,
85,0,0,0,0,0,
86,0,0,0,0,0,
87,0,0,0,0,0,
88,0,0,2,2,0,
89,0,0,0,0,0,
90,0,0,0,0,0,
91,0,0,0,0,0,
92,0,0,0,0,0,
93,0,0,0,0,0,
94,0,0,0,0,0,
95,0,0,0,0,0,
96,0,0,0,0,0,
97,0,0,0,0,0,
98,0,0,0,0,0,
99,0,0,0,0,0,
