serial,printtokens2_JR_mode2_batch_steps,printtokens2_JR_mode3_batch_steps,printtokens2_JR_mode4_batch_steps,printtokens2_JR_mode5_batch_steps,printtokens2_SPF_mode0_NA_steps,
0,142,239,141,241,103,
1,143,240,142,243,104,
2,148,244,146,246,110,
3,3351,3179,4231,3680,145,
4,3353,3184,4235,3681,146,
5,3354,3185,4236,3682,147,
6,3355,3185,4236,3682,147,
7,3356,3186,4237,3683,148,
8,3357,3198,4238,3684,148,
9,3358,3199,4257,3685,149,
10,3359,3200,4258,3685,150,
11,3360,3200,4258,3686,151,
12,3361,3201,4259,3686,151,
13,3361,3202,4260,3687,152,
14,3362,3203,4260,3687,152,
15,3362,3203,4264,3689,153,
16,3363,3204,4265,3689,153,
17,3364,3210,4267,3690,154,
18,3364,3211,4275,3694,155,
19,3366,3212,4277,3694,156,
20,3366,3213,4277,3703,156,
21,3367,3213,4278,3703,157,
22,3367,3214,4278,3705,157,
23,3368,3215,4283,3706,158,
24,3377,3216,4285,3707,158,
25,3377,3220,4287,3708,160,
26,3378,3221,4288,3709,160,
27,3381,3223,4289,3711,161,
28,3382,3223,4290,3714,162,
29,3383,3224,4291,3715,163,
30,3384,3225,4293,3716,164,
31,3384,3226,4294,3717,167,
32,3385,3227,4296,3718,169,
33,3387,3228,4297,3718,170,
34,3390,3229,4298,3719,171,
35,3392,3230,4299,3720,171,
36,3393,3231,4300,3723,172,
37,3393,3231,4300,3724,173,
38,3394,3232,4301,3724,173,
39,3394,3233,4301,3725,174,
40,3396,3234,4303,3726,175,
41,3397,3235,4303,3726,175,
42,3397,3235,4304,3727,175,
43,3398,3236,4304,3728,176,
44,3399,3236,4305,3728,176,
45,3409,3243,4316,3730,179,
46,3426,3256,4326,3756,184,
47,3428,3260,4327,3757,185,
48,3430,3260,4390,3758,186,
49,3431,3261,4391,3759,187,
50,3432,3262,4392,3760,188,
51,3433,3262,4393,3761,189,
52,3434,3264,4395,3762,193,
53,3440,3265,4403,3763,194,
54,3440,3266,4403,3764,194,
55,3441,3267,4404,3765,195,
56,3441,3269,4405,3765,196,
57,3442,3270,4406,3766,196,
58,3442,3271,4406,3766,197,
59,3443,3271,4408,3767,198,
60,3443,3272,4409,3767,198,
61,3457,3285,4426,3789,226,
62,3457,3297,4429,3791,228,
63,3458,3299,4431,3792,229,
64,3462,3304,4434,3794,238,
65,3465,3306,4437,3795,239,
66,3465,3307,4438,3795,239,
67,3465,3307,4439,3796,240,
68,3466,3308,4442,3797,240,
69,3466,3309,4443,3798,241,
70,3467,3310,4444,3799,242,
71,3473,3314,4445,3801,243,
72,3477,3316,4445,3802,244,
73,3477,3317,4446,3803,245,
74,3497,3332,4492,3830,259,
75,3498,3333,4493,3846,261,
76,4038,3781,5021,4299,283,
77,4042,3784,5028,4319,284,
78,4042,3802,5030,4321,285,
79,4085,3853,5074,4365,295,
80,4086,3856,5074,4378,339,
81,4148,3965,5184,4479,381,
82,4150,3968,5184,4479,387,
83,4157,3984,5196,4488,390,
84,4158,3986,5201,4494,390,
85,4193,4021,5274,4542,395,
86,4257,4101,5426,4621,441,
87,4312,4126,5489,4659,467,
88,4317,4131,5529,4677,475,
89,4462,4191,5715,4808,533,
90,4528,4262,5866,4950,586,
91,4533,4267,5884,4960,589,
92,4646,4387,6022,5164,623,
93,4710,4485,6101,5257,670,
94,4714,4492,6105,5265,673,
95,4780,4588,6342,5414,723,
96,4892,4708,6659,5569,765,
97,4897,4715,6674,5574,768,
98,4985,4807,6773,5640,859,
99,5101,4936,6993,5777,937,
100,5105,4941,6998,5782,940,
101,5220,5017,7151,5874,1002,
102,5403,5181,7534,6096,1120,
103,5585,5353,8002,6321,1194,
104,5586,5354,8010,6322,1195,
105,5587,5355,8011,6323,1196,
106,6033,5911,9376,7498,1197,
107,6033,5912,9380,7503,1354,
108,6034,5913,9380,7512,1355,
109,6034,5913,9381,7514,1355,
110,6116,6002,9553,7778,1356,
111,6117,6002,9557,7778,1390,
112,6122,6007,9565,7803,1394,
113,6378,6303,9917,8380,1465,
114,6379,6305,9927,8382,1466,
115,6822,6707,10569,9468,1467,
116,6853,6742,11179,9472,1609,
117,6901,6789,11289,9482,1620,
118,6903,6790,11290,9496,1646,
119,6904,6790,11290,9498,1648,
120,6910,6792,11295,9499,1658,
121,7485,7397,12135,10639,1793,
122,7486,7400,12138,10640,1795,
123,7713,7596,12396,10948,1897,
124,7714,7597,12397,10949,1897,
125,7802,8182,12528,11248,1979,
126,7802,8183,12530,11252,1980,
127,7916,8332,12658,11499,2063,
128,7916,8333,12659,11499,2068,
129,8066,8511,12796,11714,2130,
130,8067,8512,12797,11715,2131,
131,8200,8727,12959,11902,2208,
132,8201,8729,12960,11902,2209,
133,8435,9025,13207,12782,2355,
134,8487,9079,13249,12783,2417,
135,9116,9338,13633,12783,2497,
136,9297,9568,14125,12784,2620,
137,9298,9581,14128,13111,2621,
138,9298,9589,14133,13112,2624,
139,9299,9589,14134,13112,2625,
140,9589,9937,14689,13343,2798,
141,9589,9937,14690,13946,2799,
142,9589,9938,14690,14363,2800,
143,9590,9938,14691,14364,2800,
