serial,printtokens2_JR_mode2_batch_steps,printtokens2_JR_mode3_batch_steps,printtokens2_JR_mode4_batch_steps,printtokens2_JR_mode5_batch_steps,printtokens2_SPF_mode0_NA_steps,
0,76,76,76,76,76,
1,0,0,0,0,4,
2,5,5,5,5,1,
3,5,5,5,5,5,
4,0,0,0,0,3,
5,3,3,3,3,3,
6,0,0,0,0,3,
7,3,3,3,3,3,
8,0,0,0,0,3,
9,3,3,3,3,2,
10,0,0,0,0,10,
11,3,3,3,3,8,
12,0,0,0,0,2,
13,3,3,3,3,2,
14,0,0,0,0,2,
15,2,2,2,2,2,
16,0,0,0,0,2,
17,10,10,10,10,2,
18,8,8,8,8,1,
19,2,2,2,2,0,
20,0,0,0,0,1,
21,2,2,2,2,1,
22,0,0,0,0,4,
23,2,2,2,2,0,
24,0,0,0,0,4,
25,2,2,2,2,0,
26,0,0,0,0,,
27,2,2,2,2,,
28,0,0,0,0,,
29,2,2,2,2,,
30,0,0,0,0,,
31,1,1,1,4,,
32,0,0,0,0,,
33,0,0,0,0,,
34,0,0,0,0,,
35,1,1,1,4,,
36,0,0,0,0,,
37,1,1,1,0,,
38,0,0,0,1,,
39,4,4,4,2,,
40,0,0,0,,,
41,0,0,0,,,
42,0,0,0,,,
43,4,4,4,,,
44,0,0,0,,,
45,0,0,0,,,
46,0,0,0,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
