serial,replace11_JR_mode2_batch_steps,replace11_JR_mode3_batch_steps,replace11_JR_mode4_batch_steps,replace11_JR_mode5_batch_steps,replace11_SPF_mode0_NA_steps,
0,9819,9672,12100,10349,136,
1,10222,10704,13430,11554,136,
2,10224,10705,13431,11555,138,
3,10539,10919,13720,11746,139,
4,10539,10920,13867,11839,140,
5,10689,11048,13869,11839,142,
6,10689,11049,13873,11840,145,
7,10690,11050,14027,11919,145,
8,10691,11050,14164,12032,146,
9,10691,11051,14167,12033,146,
10,10692,11052,14170,12034,147,
11,10693,11053,14171,12036,147,
12,10693,11054,14181,12038,149,
13,10694,11055,14182,12039,149,
14,10695,11056,14182,12042,151,
15,10695,11056,14183,12043,153,
16,10696,11058,14184,12044,153,
17,10696,11059,14187,12046,154,
18,10697,11060,14188,12048,154,
19,10698,11063,14189,12048,155,
20,10698,11064,14191,12049,156,
21,10699,11066,14192,12050,157,
22,10700,11067,14193,12052,157,
23,10700,11067,14194,12053,157,
24,10701,11068,14194,12055,158,
25,10701,11068,14195,12056,159,
26,10701,11069,14196,12056,159,
27,10702,11070,14197,12057,159,
28,10702,11071,14199,12058,160,
29,10703,11071,14200,12059,160,
30,10703,11072,14201,12059,161,
31,10704,11072,14202,12060,161,
32,10704,11073,14203,12060,161,
33,10705,11074,14204,12061,162,
34,10706,11074,14220,12061,162,
35,10706,11075,14223,12062,163,
36,10707,11076,14229,12063,163,
37,10707,11077,14233,12064,164,
38,10707,11078,14236,12064,164,
39,10708,11080,14239,12066,165,
40,10709,11081,14245,12067,166,
41,10710,11084,14248,12067,166,
42,10711,11085,14249,12068,167,
43,10712,11085,14250,12069,168,
44,10712,11086,14254,12069,168,
45,10713,11088,14256,12070,169,
46,10713,11089,14260,12072,169,
47,10714,11090,14262,12073,170,
48,10724,11092,14265,12073,172,
49,10725,11092,14267,12074,172,
50,10725,11092,14268,12075,173,
51,10730,11097,14270,12093,173,
52,10733,11098,14274,12094,174,
53,10734,11098,14277,12096,175,
54,10734,11099,14279,12097,176,
55,10737,11100,14280,12098,177,
56,10739,11101,14289,12104,178,
57,10739,11102,14291,12105,178,
58,10745,11113,14292,12106,185,
59,10746,11113,14293,12106,185,
60,10759,11130,14295,12107,186,
61,11019,11703,14296,12108,187,
62,11105,11740,14298,12109,187,
63,11368,11776,14317,12117,188,
64,11407,11823,14319,12117,189,
65,11408,11825,14381,12146,203,
66,11409,11826,15168,12591,205,
67,11409,11827,15264,12646,206,
68,11422,11838,15269,12647,207,
69,11605,12118,15277,12648,208,
70,11606,12119,15317,12681,208,
71,11607,12120,15355,12722,209,
72,11730,12173,15356,12723,210,
73,11967,12386,15426,12770,211,
74,11968,12387,15427,12771,212,
75,18040,19087,15428,12771,214,
76,18041,19088,15430,12772,215,
77,26231,28539,15431,12772,216,
78,26349,28779,15469,12797,221,
79,26350,28780,15808,13155,224,
80,26350,28781,15809,13156,225,
81,26352,28781,15810,13156,226,
82,26352,28782,15882,13219,229,
83,26352,28783,15943,13269,230,
84,26354,28783,15945,13270,235,
85,26354,28784,23771,20189,235,
86,26355,28784,23772,20191,243,
87,26561,28989,25861,22013,286,
88,26562,28990,26085,22245,289,
89,26562,28991,26086,22246,290,
90,26563,28991,26087,22247,291,
91,26563,28992,26087,22247,292,
92,26564,28993,26088,22248,293,
93,26564,28994,26088,22248,293,
94,26565,28995,26089,22249,294,
95,26565,28995,26089,22250,294,
96,26566,28996,26090,22251,295,
97,26566,28996,26128,22286,297,
98,26568,28997,26130,22287,298,
99,26569,28998,26130,22288,298,
100,26569,28999,26130,22289,299,
101,26571,29001,26131,22290,300,
102,26572,29003,26131,22291,301,
103,26572,29007,26132,22292,301,
104,26572,29008,26132,22293,302,
105,26575,29009,26133,22294,302,
106,26576,29009,26133,22295,303,
107,26576,29010,26134,22295,303,
108,26577,29011,26134,22296,316,
109,26599,29027,26135,22296,317,
110,26738,30276,26136,22297,317,
111,27857,30919,26137,22298,320,
112,32868,31030,26138,22299,323,
113,32868,37580,26138,22300,327,
114,32915,37580,26139,22300,329,
115,36651,37582,26139,22301,332,
116,36651,63792,26140,22302,343,
117,43947,63793,26141,22302,343,
118,66173,63794,26141,22303,344,
119,66195,63795,26174,22341,358,
120,66199,63795,33038,29290,362,
121,66320,73985,33038,29291,363,
122,66352,76869,33039,29291,363,
123,66352,119971,33039,29292,366,
124,66375,119986,33040,29293,368,
125,66376,119986,35454,31538,369,
126,66432,120086,38904,34924,370,
127,66465,120126,62392,56794,390,
128,66538,120126,62533,56917,391,
129,66543,120152,62657,57012,395,
130,66544,120155,62658,57013,400,
131,66656,120206,67081,61448,401,
132,66657,120243,67082,61448,512,
133,66688,120312,67082,61449,513,
134,66688,120316,70411,65267,567,
135,66956,120316,70411,65268,567,
136,67045,120421,70446,65311,577,
137,67062,120422,70447,65312,578,
138,67062,120447,70449,65315,580,
139,67062,120448,70450,65316,581,
140,67162,120670,70453,65319,582,
141,67440,120791,70459,65326,582,
142,67495,120805,70479,65348,587,
143,67597,120806,70480,65348,588,
144,67693,120807,70484,65352,589,
145,67744,120910,70485,65354,589,
146,67744,121203,70545,65399,609,
147,77021,121293,70548,65402,611,
148,77021,121379,70549,65403,612,
149,77092,121415,70563,65416,614,
150,77093,121416,70564,65416,615,
151,77357,132514,70564,65417,615,
152,77358,132514,70565,65417,616,
153,77358,132601,70566,65418,616,
154,77359,132601,70590,65440,628,
155,77365,132903,70591,65441,628,
156,77728,132904,70620,65475,631,
157,77729,132904,70621,65476,632,
158,78276,132905,70621,65477,632,
159,78277,132907,70622,65478,633,
160,80532,133277,70624,65480,634,
161,80654,133277,70795,65674,670,
162,80669,134080,70796,65675,670,
163,80670,145597,76690,71975,730,
164,80723,145617,76705,71993,738,
165,83557,145618,76706,71993,739,
166,83558,145676,76749,72045,740,
167,84116,149020,85381,81469,829,
168,84116,149021,85381,81470,829,
169,87281,153641,136303,131950,1080,
170,87281,153642,136304,131951,1081,
171,87283,153645,136304,131951,1085,
172,88754,155034,207945,212875,1599,
173,90182,156769,524258,526803,2374,
174,90367,156981,524259,526804,2376,
175,90367,156981,524260,526805,2382,
176,90648,157253,533712,536312,2385,
177,90649,157254,533713,536313,2390,
178,90762,157346,536402,538714,2477,
