serial,replace11_JR_mode2_batch_steps,replace11_JR_mode3_batch_steps,replace11_JR_mode4_batch_steps,replace11_JR_mode5_batch_steps,replace11_SPF_mode0_NA_steps,
0,60,60,65,65,65,
1,8,8,13,13,13,
2,0,0,0,0,9,
3,9,9,9,9,32,
4,32,32,32,32,8,
5,0,0,0,0,5,
6,3,7,6,6,0,
7,0,5,2,2,0,
8,5,2,0,0,0,
9,1,0,0,0,2,
10,0,0,0,0,0,
11,0,0,0,0,2,
12,0,0,7,7,6,
13,0,3,0,0,4,
14,3,10,0,0,0,
15,10,4,2,2,8,
16,4,0,0,0,7,
17,0,1,6,6,0,
18,1,0,0,0,0,
19,0,10,4,4,2,
20,11,0,0,0,0,
21,0,2,0,0,0,
22,2,7,0,0,0,
23,7,0,8,8,0,
24,0,0,0,0,1,
25,0,0,7,7,3,
26,0,0,0,0,0,
27,0,0,0,0,0,
28,0,2,0,0,2,
29,2,0,0,0,0,
30,0,1,0,0,0,
31,2,0,2,2,0,
32,0,0,0,0,0,
33,1,0,0,0,0,
34,0,0,0,0,3,
35,0,0,0,0,0,
36,0,1,0,0,0,
37,1,0,0,0,0,
38,0,3,0,0,0,
39,3,0,1,1,0,
40,0,0,0,0,0,
41,0,0,3,3,0,
42,0,0,0,0,0,
43,0,0,0,0,0,
44,0,2,0,0,0,
45,2,0,0,0,0,
46,0,0,0,0,0,
47,2,0,2,2,0,
48,0,0,0,0,0,
49,0,0,0,0,0,
50,0,0,0,0,0,
51,0,0,0,0,0,
52,0,0,0,0,1,
53,0,0,0,0,0,
54,0,0,0,0,0,
55,0,0,0,0,0,
56,0,3,0,0,0,
57,3,0,0,0,0,
58,0,0,0,0,0,
59,0,0,0,0,0,
60,0,0,0,0,0,
61,0,0,3,3,0,
62,0,0,0,0,0,
63,0,0,0,0,0,
64,0,0,0,0,0,
65,0,0,0,0,0,
66,0,0,0,0,0,
67,0,0,0,0,0,
68,0,0,0,0,0,
69,0,0,0,0,0,
70,0,0,0,0,0,
71,0,0,0,0,0,
72,0,0,0,0,0,
73,0,0,0,0,0,
74,0,0,1,1,0,
75,0,0,0,0,0,
76,0,0,0,0,0,
77,0,0,0,0,0,
78,0,0,0,0,0,
79,0,0,0,0,0,
80,0,0,0,0,0,
81,0,0,0,0,0,
82,0,0,0,0,2,
83,0,0,0,0,2,
84,0,0,0,0,1,
85,0,0,0,0,0,
86,0,0,0,0,0,
87,0,0,0,0,0,
88,0,0,0,0,0,
89,0,0,0,0,1,
90,0,0,0,0,,
91,0,0,0,0,,
92,0,1,0,0,,
93,1,0,0,0,,
94,0,0,0,0,,
95,0,0,0,0,,
96,0,0,0,0,,
97,0,0,0,0,,
98,0,0,0,0,,
99,0,0,0,0,,
