serial,tcas_JR_mode2_batch_steps,tcas_JR_mode3_batch_steps,tcas_JR_mode4_batch_steps,tcas_JR_mode5_batch_steps,tcas_SPF_mode0_NA_steps,
0,160,250,152,120,208,
1,3299,5254,5116,5070,257,
2,3393,5255,5118,5072,265,
3,3485,5257,5119,5073,268,
4,3546,5257,5120,5074,269,
5,3682,5261,5120,5075,271,
6,3719,5261,5121,5075,274,
7,3741,5262,5121,5076,276,
8,3742,5262,5122,5077,284,
9,3989,5264,5122,5077,285,
10,4067,5265,5124,5078,287,
11,4068,5266,5125,5078,288,
12,4158,5267,5126,5079,288,
13,4159,17075,18632,16395,289,
14,4159,17076,18633,16395,290,
15,4160,17077,18634,16396,290,
16,4160,17077,18636,16397,299,
17,4161,17078,18636,16402,337,
18,4162,17078,18637,16403,340,
19,4162,17079,18638,16403,362,
20,4162,17079,18638,16403,365,
21,4163,17079,18639,16404,379,
22,4164,17080,18640,16404,385,
23,4256,17080,18640,16405,409,
24,4256,17080,18641,16405,413,
25,4257,17081,18642,16406,415,
26,4257,17081,18642,16408,419,
27,4258,17081,18643,16409,420,
28,4259,17082,18643,16410,422,
29,4259,17082,18645,16411,423,
30,4260,17082,18646,16411,423,
31,4261,17085,18648,16412,424,
32,4261,17086,18648,16413,485,
33,4263,17088,18649,16413,485,
34,4264,17088,18650,16414,488,
35,4264,17092,18652,16415,492,
36,4264,17097,18653,16415,493,
37,4265,17097,18654,16416,499,
38,4265,17098,18654,16417,499,
39,4266,17098,18655,16417,503,
40,4267,17101,18656,16418,503,
41,4373,17103,18657,16418,510,
42,4419,17105,18658,16419,511,
43,4812,17106,18658,16419,521,
44,4814,17107,18659,16420,522,
45,5096,17107,18660,16420,523,
46,5120,17108,18660,16421,523,
47,5227,17108,18661,16421,545,
48,5227,17109,18662,16422,550,
49,5407,17109,18662,16422,596,
50,5407,17110,18663,16423,597,
51,5698,17110,18663,16423,630,
52,5721,17111,18664,16424,630,
53,7620,17111,18665,16424,692,
54,7648,17111,18665,16425,693,
55,10014,17112,18666,16426,744,
56,12843,17112,18667,16426,744,
57,12856,17113,18668,16427,745,
58,12927,17113,18669,16428,757,
59,12994,17114,18670,16428,757,
60,13057,17114,18670,16429,820,
61,13058,17114,18674,16429,2588,
62,13058,17115,18675,16430,2588,
63,13151,17115,18676,16430,2591,
64,13188,17116,18677,16431,2599,
65,13274,17117,18678,16432,2599,
66,13360,17117,18679,16432,2603,
67,13361,17117,18680,16433,2605,
68,16079,17117,18681,16433,2622,
69,16098,17118,18681,16434,2623,
70,16488,17118,18682,16434,2626,
71,16536,17118,18682,16435,2627,
72,16980,17119,18683,16435,2688,
73,24029,17119,18684,16436,3111,
74,40814,17119,18684,16436,3118,
75,40842,17119,18685,16437,3184,
76,40843,17120,18686,16437,3189,
77,40843,17120,18687,16437,3273,
78,41000,17121,18688,16438,4331,
79,41231,17121,18689,16438,8423,
80,68692,17122,18690,16439,8451,
81,68711,17122,18691,16439,8494,
82,68712,18499,20049,17826,8499,
83,68713,18887,20596,18197,8499,
84,68714,20276,22043,19432,15930,
