serial,wbs_JR_mode2_batch_steps,wbs_JR_mode3_batch_steps,wbs_JR_mode4_batch_steps,wbs_JR_mode5_batch_steps,wbs_SPF_mode0_NA_steps,
0,201,175,141,162,137,
1,211,177,143,164,139,
2,5952,4161,4224,4304,191,
3,5955,4170,4226,4308,195,
4,5958,4171,4227,4309,196,
5,5959,4171,4228,4309,198,
6,5960,4172,4228,4310,199,
7,5960,4172,4229,4310,200,
8,5961,4173,4229,4312,201,
9,5961,4175,4230,4312,201,
10,5962,4175,4230,4313,202,
11,5962,4177,4232,4314,202,
12,5963,4178,4232,4314,203,
13,6056,4237,4286,4370,203,
14,6058,4238,4287,4370,204,
15,6476,4573,4520,4651,205,
16,6686,4707,4709,4790,207,
17,7545,5374,5421,5478,208,
18,8456,5987,5987,6084,208,
19,8457,5988,5988,6085,209,
20,8458,5988,5988,6085,211,
21,12629,8941,9202,9078,212,
22,41703,34587,35597,35089,213,
23,41704,34588,35598,35090,214,
24,41705,34588,35598,35090,215,
25,41706,34588,35599,35090,232,
26,41706,34589,35599,35091,249,
27,41707,34589,35600,35091,250,
28,41708,34589,35601,35091,252,
29,41709,34590,35601,35092,253,
30,41709,34590,35602,35092,268,
31,41710,34591,35602,35092,274,
32,41710,34591,35603,35093,275,
33,41711,34591,35603,35093,276,
34,41711,34592,35604,35093,276,
35,41711,34592,35605,35094,277,
36,41712,34592,35605,35094,290,
37,41712,34593,35606,35095,310,
38,41712,34593,35606,35095,312,
39,41713,34594,35607,35095,319,
40,41713,34595,35607,35096,320,
41,41713,34595,35608,35096,335,
42,41714,34596,35609,35096,336,
43,41714,34597,35610,35097,337,
44,41714,34597,35610,35097,337,
45,41714,34598,35611,35098,338,
46,41715,34599,35611,35098,366,
47,41715,34599,35611,35098,370,
48,41715,34599,35612,35099,379,
49,41716,34600,35612,35099,379,
50,41716,34600,35613,35099,389,
51,41716,34600,35613,35100,399,
52,41717,34601,35613,35100,400,
53,41717,34601,35614,35100,401,
54,41717,34602,35615,35101,402,
55,41717,34603,35615,35101,442,
56,41718,34603,35615,35101,446,
57,41718,34604,35616,35102,452,
58,41718,34604,35616,35102,453,
59,41719,34605,35617,35102,464,
60,41719,34605,35617,35102,466,
61,41719,34606,35618,35103,466,
62,41720,34606,35618,35103,492,
63,41720,34607,35619,35104,495,
64,41721,34607,35619,35104,501,
65,41721,34607,35620,35104,502,
66,41721,34608,35620,35104,536,
67,41722,34608,35621,35105,591,
68,41722,34609,35622,35105,591,
