bench, time,staticAnalysisTime,dynTime,npaths,solverCount,totalSolverTime,parseTime,cleanupTime,DistinctVeriRegionNum,DistinctSpfRegionNum,ConcreteRegionNum,FIELDREFERNCEINSTRUCTION,SPFCASEINSTRUCTION,MISSINGMETHODSUMMARY,OTHER,hgOrdRegionInstance,regionCount,SuccInstantiations,FailedInstantiations,ConcreteInstNum,FIELDREFERNCEINSTRUCTION,SPFCASEINSTRUCTION,MISSINGMETHODSUMMARY,OTHER,interestingRegionCount,numMethodSummaries,maxBranchDepth,maxExecPathCount,avgExecPathCount,staticPhaseEx,instPhaseEx,unknownPhaseEx, unitTests
scheduleCollect_steps1,3098,0,3098,343,1027,164,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0.0,0,0,0,343
scheduleCollect_steps2,1194299,0,1194299,117649,352945,95102,31302,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0.0,0,0,0,117649
scheduleJRCollect.mode2_steps1,4316,1187,3129,343,1027,155,77,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,42,6,6,7,5.666618500794736,0,0,0,343
scheduleJRCollect.mode2_steps2,1136569,2271,1134298,117649,352945,92691,31114,67,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,42,6,6,7,5.666618500794736,0,0,0,117649
scheduleJRCollect.mode3_steps1,8134,1394,6740,343,1027,137,66,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,227,106,6,7,2.3488372245119007,12,189,0,343
scheduleJRCollect.mode3_steps2,1142014,2643,1139371,117649,352945,93269,31536,71,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,227,106,6,7,2.3488372245119007,12,189,0,117649
scheduleJRCollect.mode4_steps1,9377,1600,7777,343,1027,152,73,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,227,106,6,7,2.3488372245119007,12,189,0,343
scheduleJRCollect.mode4_steps2,1096297,2738,1093559,117649,352945,89389,30231,55,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,227,106,6,7,2.3488372245119007,12,189,0,117649
scheduleJRCollect.mode5_steps1,8240,1438,6802,343,1027,145,69,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,227,106,6,7,2.3488372245119007,12,189,0,343
scheduleJRCollect.mode5_steps2,659580,2093,657487,117649,352945,49953,14528,40,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,227,106,6,7,2.3488372245119007,12,189,0,117649
