serial,replace11_JR_mode2_batch_steps,replace11_JR_mode3_batch_steps,replace11_JR_mode3_single_steps,replace11_JR_mode4_batch_steps,replace11_JR_mode5_batch_steps,replace11_SPF_mode0_NA_steps,
0,8215,6078,6561,6263,5904,94,
1,8522,6749,7267,6967,6646,95,
2,8523,6749,7267,6967,6646,97,
3,8737,6892,7403,7104,6807,97,
4,8738,6893,7403,7153,6868,98,
5,8936,7063,7569,7154,6869,99,
6,8980,7289,7717,7154,6869,101,
7,8981,7427,7807,7215,6937,102,
8,8985,7427,7808,7281,7008,102,
9,9012,7971,8221,7281,7008,103,
10,9012,7971,8221,7342,7068,103,
11,9100,8129,8384,7524,7273,104,
12,9100,8129,8384,9460,9308,106,
13,9101,8223,8437,9460,9308,107,
14,9102,8333,8478,10201,9951,108,
15,10830,8334,8479,10201,9951,109,
16,10831,8334,8479,10413,10150,111,
17,10832,8334,8480,10497,10228,118,
18,10833,9723,9878,10498,10229,118,
19,10833,9724,9879,10498,10229,118,
20,10834,9724,9879,10499,10229,119,
21,10834,9724,9879,11933,11691,119,
22,10835,9725,9880,11934,11692,122,
23,10835,9725,9880,11934,11693,122,
24,11190,9725,9880,11935,11694,122,
25,11191,9726,9881,11935,11694,123,
26,11191,9726,9882,11935,11694,127,
27,11192,10214,10450,11936,11694,128,
28,11193,10214,10450,11936,11695,129,
29,11721,10215,10450,11936,11695,130,
30,11772,10215,10451,12550,12306,131,
31,11773,10215,10451,12551,12306,131,
32,11774,10921,11226,12552,12306,132,
33,11774,10969,11666,12553,12307,133,
34,11775,10969,11666,12554,12307,133,
35,11828,10970,11666,14332,14142,136,
36,11830,10970,11666,14704,14978,136,
37,11831,10971,11667,14705,14978,137,
38,11831,11263,11667,14705,14978,137,
39,11832,11270,11667,14705,14978,138,
40,11834,11272,11667,14706,14979,138,
41,11835,11335,11761,14706,14979,138,
42,11835,11336,11761,14706,14979,139,
43,12043,11336,11762,14706,14979,139,
44,12156,11336,11762,14706,14980,140,
45,12156,11336,11762,14707,14980,145,
46,12786,11337,11763,14707,14980,146,
47,12877,11337,11763,14707,14981,146,
48,12939,11337,11763,14707,14981,147,
49,13026,11611,12052,14887,15217,147,
50,13076,11720,12138,14888,15218,147,
51,13234,11720,12139,14888,15219,148,
52,13319,12482,13012,14889,15220,156,
53,13390,12531,13073,14889,15220,170,
54,32434,12574,13124,14889,15220,171,
55,32507,12597,13154,14889,15221,171,
56,32659,12708,13257,14890,15221,171,
57,32659,12709,13258,15828,15935,172,
58,32659,12830,13358,16185,16215,173,
59,34399,12939,13456,16185,16216,173,
60,43452,13365,13924,18545,18687,174,
61,43507,92687,94756,18999,18811,215,
62,43508,92822,94892,19094,18924,1130,
63,92604,224457,227903,19153,19017,1132,
64,92604,224614,228010,19268,19158,1132,
65,92605,237402,238633,19627,19492,1425,
66,92605,237516,238749,19943,19777,2741,
67,92605,247751,249411,20148,19969,2741,
68,486144,1066782,1081423,21101,20752,13756,
69,486167,1066805,1081446,21658,21272,13757,
70,487814,1068477,1083030,1702615,1690617,14853,
71,487935,1068682,1083311,1702615,1690618,14855,
72,488000,1068701,1083333,1702615,1690618,15848,
73,488104,1068717,1083354,1702616,1690618,265515,
74,488120,1068733,1083381,1702616,1690619,265517,
75,488120,1068734,1083381,2119796,2100149,266237,
76,488120,1068734,1083381,2119820,2100174,266238,
77,488120,1068734,1083382,2121589,2101991,266238,
78,488126,1068740,1083389,2121811,2102224,266239,
79,488204,1068916,1083634,2121851,2102253,266239,
80,488205,1068916,1083635,2121851,2102254,266239,
81,488205,1068916,1083635,2121851,2102254,266239,
82,488254,1068945,1083664,2121870,2102273,266240,
83,488411,1069218,1083901,2121890,2102289,266240,
84,488420,1069232,1083915,2121890,2102289,266240,
85,488420,1069233,1083915,2121922,2102315,266241,
86,489316,1070363,1084899,2121923,2102316,266241,
87,492420,1072928,1087596,2121923,2102316,266242,
88,576287,1158544,1173911,2121923,2102316,266244,
89,1275074,2131566,2174528,2121923,2102316,266245,
90,1275147,2131756,2174689,2121945,2102329,266245,
91,1275148,2131756,2174689,2122204,2102603,266246,
92,1275148,2131757,2174690,2122204,2102603,266246,
93,1275148,2131757,2174690,2122205,2102604,266247,
94,1275148,2131757,2174690,2122234,2102633,266276,
95,1275149,2131757,2174690,2123757,2104319,266277,
96,1275149,2131758,2174691,2123823,2104423,266279,
97,1275149,2131758,2174691,2123823,2104423,266279,
98,1275149,2131758,2174691,2126812,2107319,266345,
99,1275294,2131927,2174858,2131467,2111689,765936,
100,1275294,2131927,2174859,2131559,2111782,765937,
101,1275294,2131928,2174859,,,765938,
102,1275295,2131928,2174859,,,765938,
103,1275295,2131928,2174859,,,765938,
104,1275295,2131928,2174860,,,765939,
105,1275296,2131929,2174860,,,765939,
106,1275296,2131929,2174860,,,765939,
107,1275296,2131929,2174860,,,765939,
108,1275327,2131975,2174891,,,765940,
109,1275342,2131993,2174903,,,765950,
110,1275343,2131993,2174903,,,765950,
111,1275584,2132248,2175095,,,765951,
112,1275584,2132249,2175095,,,765951,
113,1275584,2132249,2175095,,,765951,
114,1275585,2132249,2175096,,,765951,
115,1275585,2132250,2175096,,,765952,
116,1275585,2132250,2175096,,,765952,
117,1275585,2132251,2175096,,,765952,
118,1275616,2132279,2175123,,,765954,
119,1275616,2132279,2175123,,,765954,
120,1275645,2132306,2175158,,,765960,
121,1275645,2132306,2175158,,,765960,
122,1275742,2132428,2175272,,,765962,
123,1275742,2132429,2175272,,,766000,
124,1275852,2132546,2175388,,,766000,
125,,,,,,766001,
126,,,,,,766001,
127,,,,,,766001,
128,,,,,,766002,
129,,,,,,766002,
130,,,,,,766002,
131,,,,,,766009,
132,,,,,,766009,
133,,,,,,766030,
134,,,,,,766030,
135,,,,,,1949907,
136,,,,,,1949908,
137,,,,,,1949908,
138,,,,,,1949909,
139,,,,,,1949936,
140,,,,,,1949937,
141,,,,,,1949937,
142,,,,,,1949939,
143,,,,,,1949939,
144,,,,,,1950054,
145,,,,,,2429859,
146,,,,,,2429859,
147,,,,,,2429860,
148,,,,,,2941222,
