serial,schedule2_JR_mode2_batch_steps,schedule2_JR_mode3_batch_steps,schedule2_JR_mode3_single_steps,schedule2_JR_mode4_batch_steps,schedule2_JR_mode5_batch_steps,schedule2_SPF_mode0_NA_steps,
0,114,92,85,118,101,143,
1,134,96,89,122,105,147,
2,142,98,92,124,108,165,
3,143,99,97,125,109,165,
4,144,99,98,126,109,166,
5,144,100,99,126,110,170,
6,145,101,99,126,110,170,
7,146,102,101,128,111,172,
8,147,103,109,129,113,173,
9,148,103,110,129,113,175,
10,149,104,110,130,114,175,
11,149,104,111,130,114,176,
12,149,104,112,131,115,176,
13,150,105,112,131,115,177,
14,150,105,112,131,116,177,
15,151,106,113,132,116,177,
16,151,106,114,132,117,178,
17,152,107,114,133,117,178,
18,152,107,115,133,118,179,
19,153,108,116,134,118,179,
20,153,108,117,134,119,180,
21,154,109,118,135,120,181,
22,155,110,119,136,120,181,
23,157,112,122,137,122,183,
24,157,112,122,138,123,184,
25,158,113,123,139,123,184,
26,159,114,124,140,125,192,
27,168,148,138,147,133,231,
28,187,164,177,176,150,256,
29,188,164,177,183,150,270,
30,192,165,178,183,151,271,
31,2713,3061,3515,3428,3372,373,
32,2717,3062,3521,3430,3374,386,
33,2720,3063,3523,3439,3375,388,
34,2745,3065,3531,3440,3376,388,
35,2746,3065,3540,3440,3376,389,
36,2749,3068,3543,3443,3379,392,
37,2750,3068,3543,3444,3380,392,
38,2753,3071,3546,3447,3383,395,
39,2753,3079,3548,3448,3383,395,
40,2850,3116,3584,3519,3417,437,
41,2946,3138,3612,3548,3492,527,
42,2984,3160,3637,3591,3513,647,
43,3077,3192,3674,3627,3548,716,
44,3122,4529,4681,5031,4570,719,
45,3144,4541,4692,5039,4583,742,
46,3169,5592,5550,5970,5884,745,
47,3170,5593,5550,5970,5885,745,
48,3188,5603,5558,5978,5893,754,
49,3211,6392,6592,6598,6565,767,
50,3216,6393,6593,6598,6566,768,
51,3244,6401,6602,6606,6576,776,
52,3272,6891,7066,7026,7087,779,
53,3277,6895,7066,7027,7088,779,
54,3277,6896,7066,7027,7088,780,
55,3278,6896,7067,7028,7089,781,
56,3293,6910,7075,7037,7097,799,
57,3315,7045,7170,7141,7189,802,
58,3315,7046,7170,7142,7189,803,
59,3340,7056,7192,7156,7197,816,
60,3497,7162,7317,7263,7302,959,
