serial,tcas_JR_mode2_batch_steps,tcas_JR_mode3_batch_steps,tcas_JR_mode3_single_steps,tcas_JR_mode4_batch_steps,tcas_JR_mode5_batch_steps,tcas_SPF_mode0_NA_steps,
0,2211,3155,3476,3312,3685,129,
1,2272,3156,3477,3313,3686,130,
2,2323,3156,3478,3314,3687,131,
3,2356,6872,6976,6940,7876,131,
4,2414,6878,6977,6941,7876,133,
5,2445,6879,6977,6941,7877,133,
6,2479,6879,6978,6942,7877,134,
7,2479,6880,6978,6942,7878,146,
8,2621,6880,6978,6943,7878,149,
9,2680,6881,6978,6943,7878,149,
10,2681,6881,6979,6944,7879,150,
11,2717,6881,6979,6944,7879,150,
12,2718,6882,6981,6944,7880,150,
13,4114,6882,6981,6945,7880,151,
14,4114,6882,6982,6945,7880,152,
15,4115,6883,6982,6945,7881,152,
16,4115,6883,6982,6946,7881,153,
17,4115,6883,6983,6946,7882,153,
18,4116,6884,6983,6946,7882,154,
19,4116,6884,6983,6946,7882,154,
20,4117,6885,6983,6947,7883,155,
21,4117,6885,6984,6947,7883,156,
22,4118,6885,6984,6947,7883,156,
23,4118,6885,6984,6948,7884,156,
24,4119,6886,6984,6948,7884,157,
25,4119,6886,6985,6948,7884,157,
26,4119,6886,6985,6948,7885,158,
27,4120,62715,73352,68598,53743,158,
28,4120,62716,73352,68599,53744,159,
29,4120,62716,73352,68599,53744,159,
30,4121,62717,73353,68599,53744,169,
31,4121,62717,73353,68600,53744,171,
32,4121,62717,73353,68600,53745,174,
33,5276,62717,73353,68600,53745,176,
34,5276,62718,73354,68600,53745,181,
35,5276,62718,73354,68601,53745,186,
36,5277,62718,73354,68601,53746,211,
37,5277,62718,73354,68601,53746,211,
38,5277,62718,73354,68601,53746,212,
39,5277,62719,73355,68602,53746,212,
40,5278,62719,73355,68602,53746,240,
41,5278,62719,73355,68602,53747,240,
42,5536,62719,73355,68603,53747,243,
43,7285,62720,73356,68603,53747,252,
44,8667,62720,73356,68603,53747,253,
45,8720,62720,73356,68603,53748,253,
46,13322,62720,73356,68604,53748,254,
47,13396,62720,73356,68604,53748,267,
48,19978,62721,73357,68604,53748,295,
49,25917,62721,73357,68604,53749,295,
50,25964,62721,73357,68605,53749,419,
51,26147,62721,73357,68605,53749,1504,
52,26313,62722,73357,68605,53749,1504,
53,26523,62722,73358,68606,53750,1506,
54,26524,62722,73358,68606,53750,1511,
55,26524,62723,73358,68606,53750,1511,
56,26732,62723,73359,68606,53750,1515,
57,26786,62723,73359,68607,53751,1517,
58,27144,62723,73359,68607,53751,1531,
59,27266,62724,73359,68607,53751,1531,
60,27266,62724,73360,68608,53751,1534,
61,35132,62724,73360,68608,53752,1534,
62,35217,62724,73360,68608,53752,1561,
63,36224,62725,73360,68608,53752,1902,
64,36284,62725,73361,68609,53752,1908,
65,37732,62726,73361,68609,53752,1980,
66,55702,62726,73361,68609,53753,1983,
67,106616,62727,73361,68610,53753,2067,
68,106813,62727,73362,68610,53753,2870,
69,106814,62727,73362,68610,53753,5531,
70,201264,62727,73368,68610,53754,5546,
71,201396,62727,73368,68611,53754,5562,
72,201396,67250,76430,76463,53754,5563,
73,201396,67973,77625,77125,65881,5564,
74,201397,75429,92806,86383,71515,10384,
