serial,wbs_JR_mode2_batch_steps,wbs_JR_mode3_batch_steps,wbs_JR_mode3_single_steps,wbs_JR_mode4_batch_steps,wbs_JR_mode5_batch_steps,wbs_SPF_mode0_NA_steps,
0,135,150,98,163,135,45,
1,3787,3699,3118,3750,3547,66,
2,3788,3700,3119,3751,3548,67,
3,3790,3700,3120,3752,3549,67,
4,3791,3701,3120,3752,3550,68,
5,3792,3701,3120,3752,3550,68,
6,3793,3702,3120,3753,3551,68,
7,3794,3702,3121,3753,3551,69,
8,3795,3705,3121,3754,3552,69,
9,3798,3706,3121,3754,3552,69,
10,3800,3707,3122,3755,3552,69,
11,3800,3707,3122,3756,3553,70,
12,3854,3759,3152,3798,3589,70,
13,3854,3760,3152,3799,3589,70,
14,4132,3992,3364,4023,3824,71,
15,4288,4095,3482,4133,3955,72,
16,4755,4568,3929,4563,4423,72,
17,55094,49445,94254,51986,47783,72,
18,55095,49446,94255,51986,47784,73,
19,55095,49446,94255,51986,47784,73,
20,55095,49446,94255,51987,47784,73,
21,55095,49447,94255,51987,47785,74,
22,55096,49447,94255,51987,47785,74,
23,55096,49447,94256,51987,47785,75,
24,55096,49447,94256,51988,47786,75,
25,55096,49448,94256,51988,47786,98,
26,55097,49448,94256,51988,47786,98,
27,55097,49448,94257,51988,47786,99,
28,55097,49449,94257,51989,47787,99,
29,55098,49449,94257,51989,47787,99,
30,55098,49450,94257,51989,47787,100,
31,55108,49450,94258,51990,47788,105,
32,55108,49450,94258,51990,47788,117,
33,55108,49452,94258,51990,47788,119,
34,55109,49452,94259,51990,47789,123,
35,55109,49452,94259,51991,47789,124,
36,55109,49453,94259,51991,47789,128,
37,55109,49453,94259,51991,47789,129,
38,55109,49454,94259,51991,47790,129,
39,55110,49454,94260,51991,47790,129,
40,55110,49455,94260,51992,47790,129,
41,55110,49455,94260,51992,47791,148,
42,55110,49455,94261,51992,47791,149,
43,55111,49456,94261,51992,47791,152,
44,55111,49456,94261,51993,47792,152,
45,55111,49456,94261,51993,47792,158,
46,55111,49456,94261,51993,47792,158,
47,55112,49457,94262,51993,47792,158,
48,55112,49457,94262,51993,47793,159,
49,55112,49457,94262,51994,47793,159,
50,55112,49458,94262,51994,47793,179,
51,55113,49458,94262,51994,47794,181,
52,55113,49459,94263,51994,47794,185,
53,55113,49459,94263,51995,47794,185,
54,55113,49459,94263,51995,47795,190,
55,55114,49460,94264,51995,47795,191,
56,55114,49460,94264,51995,47795,191,
57,55114,49460,94264,51996,47795,210,
58,55115,49461,94264,51996,47796,212,
59,55115,49461,94264,51996,47796,215,
60,55115,49461,94265,51996,47796,216,
61,55115,49462,94265,51997,47797,242,
62,55116,49462,94268,51997,47797,283,
63,55116,49462,94269,51997,47797,284,
64,,,,51997,47797,,
